,electorates,postcode
1339,Flinders,3926
1340,Flinders,3927
1341,Flinders,3928
1342,Flinders,3929
1343,Dunkley,3930
1344,Dunkley,3931
1345,Flinders,3933
1346,Flinders,3934
1347,Flinders,3936
1348,Flinders,3937
1349,Flinders,3938
1350,Flinders,3939
1351,Flinders,3940
1352,Flinders,3941
1353,Flinders,3942
1354,Flinders,3943
1355,Flinders,3944
1356,"Flinders, McMillan",3945
1357,McMillan,3946
1358,McMillan,3950
1359,"McMillan, Flinders",3951
1360,McMillan,3953
1361,McMillan,3954
1362,McMillan,3956
1363,McMillan,3957
1364,McMillan,3958
1365,McMillan,3959
1366,McMillan,3960
1367,"McMillan, Gippsland",3962
1368,McMillan,3964
1369,McMillan,3965
1370,"Gippsland, McMillan",3966
1371,"McMillan, Gippsland",3967
1372,Gippsland,3971
1373,"Holt, Isaacs",3975
1374,Holt,3976
1375,"Holt, Dunkley, Flinders, Isaacs",3977
1376,"Holt, Flinders, La Trobe",3978
1377,"Flinders, McMillan",3979
1378,Flinders,3980
1379,"Flinders, McMillan",3981
1380,"Flinders, McMillan",3984
1381,"Flinders, McMillan",3987
1382,McMillan,3988
1383,,3989
1384,Flinders,3990
1385,Flinders,3991
1386,"Flinders, McMillan",3992
1387,"Flinders, McMillan",3995
1388,McMillan,3996
1389,Brisbane,4000
1390,,4001
1391,,4002
1392,,4003
1393,,4004
1394,Brisbane,4005
1395,Brisbane,4006
1396,Brisbane,4007
1397,Lilley,4008
1398,"Brisbane, Lilley",4009
1399,Brisbane,4010
1400,Brisbane,4011
1401,"Lilley, Brisbane",4012
1402,Lilley,4013
1403,Lilley,4014
1404,"Lilley, Petrie",4017
1405,"Lilley, Petrie",4018
1406,Petrie,4019
1407,Petrie,4020
1408,Petrie,4021
1409,Petrie,4022
1410,Bonner,4025
1411,,4029
1412,Brisbane,4030
1413,"Brisbane, Lilley",4031
1414,Lilley,4032
1415,"Lilley, Petrie",4034
1416,"Dickson, Lilley, Petrie",4035
1417,Petrie,4036
1418,Dickson,4037
1419,"Brisbane, Ryan",4051
1420,"Brisbane, Dickson, Lilley, Ryan",4053
1421,"Dickson, Ryan",4054
1422,"Dickson, Ryan",4055
1423,Brisbane,4059
1424,"Brisbane, Ryan",4060
1425,Ryan,4061
1426,"Brisbane, Ryan",4064
1427,"Brisbane, Ryan",4065
1428,"Brisbane, Ryan",4066
1429,Ryan,4067
1430,"Moreton, Ryan",4068
1431,Ryan,4069
1432,Ryan,4070
1433,,4072
1434,Oxley,4073
1435,Oxley,4074
1436,"Moreton, Oxley",4075
1437,Oxley,4076
1438,Oxley,4077
1439,Oxley,4078
1440,Griffith,4101
1441,Griffith,4102
1442,"Griffith, Moreton",4103
1443,Moreton,4104
1444,Moreton,4105
1445,Moreton,4106
1446,Moreton,4107
1447,Moreton,4108
1448,Moreton,4109
1449,"Moreton, Oxley",4110
1450,Moreton,4111
1451,Moreton,4112
1452,"Bonner, Moreton",4113
1453,Rankin,4114
1454,Rankin,4115
1455,Rankin,4116
1456,Rankin,4117
1457,"Forde, Rankin, Wright",4118
1458,Rankin,4119
1459,Griffith,4120
1460,"Bonner, Griffith, Moreton",4121
1461,"Griffith, Bonner",4122
1462,"Bonner, Rankin",4123
1463,"Forde, Wright",4124
1464,"Forde, Wright",4125
1465,"Forde, Rankin",4127
1466,"Forde, Rankin",4128
1467,Forde,4129
1468,Forde,4130
1469,"Forde, Rankin",4131
1470,Rankin,4132
1471,Forde,4133
1472,Griffith,4151
1473,"Bonner, Griffith",4152
1474,Bonner,4153
1475,Bonner,4154
1476,Bonner,4155
1477,Bonner,4156
1478,Bowman,4157
1479,Bowman,4158
1480,Bowman,4159
1481,Bowman,4160
1482,Bowman,4161
1483,Bowman,4163
1484,Bowman,4164
1485,Bowman,4165
1486,Griffith,4169
1487,"Bonner, Griffith",4170
1488,Griffith,4171
1489,"Bonner, Griffith",4172
1490,Bonner,4173
1491,Bonner,4174
1492,Bonner,4178
1493,Bonner,4179
1494,Bowman,4183
1495,Bowman,4184
1496,Forde,4205
1497,"Fadden, Forde, Wright",4207
1498,"Fadden, Forde",4208
1499,"Fadden, Forde",4209
1500,"Fadden, Forde, Wright",4210
1501,"Fadden, Moncrieff, Wright",4211
1502,Fadden,4212
1503,"McPherson, Wright, Moncrieff",4213
1504,"Fadden, Moncrieff",4214
1505,"Fadden, Moncrieff",4215
1506,Fadden,4216
1507,Moncrieff,4217
1508,Moncrieff,4218
1509,,4219
1510,"McPherson, Moncrieff",4220
1511,McPherson,4221
